Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 10L,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 10L,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 3,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 11L,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 10L,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 2,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testMultiColumnTimestampAndIncrementing,Magic Number,The method contains a magic number: 3,388
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreOffset,Magic Number,The method contains a magic number: 2,447
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreOffset,Magic Number,The method contains a magic number: 3,447
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreOffset,Magic Number,The method contains a magic number: 2,447
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreOffset,Magic Number,The method contains a magic number: 2,447
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementingRestoreOffset,Magic Number,The method contains a magic number: 3,447
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffset,Magic Number,The method contains a magic number: 32.4f,494
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffset,Magic Number,The method contains a magic number: 33.4f,494
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffset,Magic Number,The method contains a magic number: 35.4f,494
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffset,Magic Number,The method contains a magic number: 2,494
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffset,Magic Number,The method contains a magic number: 2L,494
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testAutoincrementRestoreOffset,Magic Number,The method contains a magic number: 3L,494
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreNoVersionOffset,Magic Number,The method contains a magic number: 10L,519
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreVersionOneOffset,Magic Number,The method contains a magic number: 10L,525
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffsetsWithMultipleProtocol,Magic Number,The method contains a magic number: 8L,533
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffsetsWithMultipleProtocol,Magic Number,The method contains a magic number: 10L,533
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 10L,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 2,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 11L,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 3,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 12L,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 4,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 2,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 3,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampRestoreOffset,Magic Number,The method contains a magic number: 4,547
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreNoVersionOffset,Magic Number,The method contains a magic number: 10L,578
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreNoVersionOffset,Magic Number,The method contains a magic number: 3L,578
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreVersionOneOffset,Magic Number,The method contains a magic number: 10L,586
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreVersionOneOffset,Magic Number,The method contains a magic number: 3L,586
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffsetsWithMultipleProtocol,Magic Number,The method contains a magic number: 10L,594
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffsetsWithMultipleProtocol,Magic Number,The method contains a magic number: 2L,594
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffsetsWithMultipleProtocol,Magic Number,The method contains a magic number: 10L,594
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffsetsWithMultipleProtocol,Magic Number,The method contains a magic number: 3L,594
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 9L,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 2,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 10L,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 3,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 11L,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 4,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 12L,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 5,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 13L,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 3,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 4,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampAndIncrementingRestoreOffset,Magic Number,The method contains a magic number: 5,605
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Long Statement,The length of the statement "startTask(null`null`"SELECT \"test\".\"id\"` \"test\"" + ".\"user_id\"` \"users\".\"name\" FROM \"test\" JOIN \"users\" " + "ON (\"test\".\"user_id\" = \"users\".\"user_id\")");" is 177.,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 2,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 2,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 3,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 2,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 4,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 2,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 4,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 2,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 2,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryBulk,Magic Number,The method contains a magic number: 2,642
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Long Statement,The length of the statement "db.insert(SINGLE_TABLE_NAME`"modified"`DateTimeUtils.formatTimestamp(new Timestamp(10L)`UTC_TIME_ZONE)`"id"`1`"user_id"`1);" is 123.,680
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Long Statement,The length of the statement "startTask("modified"`null`"SELECT \"test\".\"modified\"` \"test\".\"id\"` \"test\"" + ".\"user_id\"` \"users\".\"name\" FROM \"test\" JOIN \"users\" " + "ON (\"test\".\"user_id\" = \"users\".\"user_id\")");" is 206.,680
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Long Statement,The length of the statement "db.insert(SINGLE_TABLE_NAME`"modified"`DateTimeUtils.formatTimestamp(new Timestamp(10L)`UTC_TIME_ZONE)`"id"`2`"user_id"`1);" is 123.,680
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Long Statement,The length of the statement "db.insert(SINGLE_TABLE_NAME`"modified"`DateTimeUtils.formatTimestamp(new Timestamp(11L)`UTC_TIME_ZONE)`"id"`3`"user_id"`2);" is 123.,680
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Long Statement,The length of the statement "db.insert(SINGLE_TABLE_NAME`"modified"`DateTimeUtils.formatTimestamp(new Timestamp(12L)`UTC_TIME_ZONE)`"id"`4`"user_id"`2);" is 123.,680
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Magic Number,The method contains a magic number: 2,680
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Magic Number,The method contains a magic number: 10L,680
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Magic Number,The method contains a magic number: 10L,680
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testCustomQueryWithTimestamp,Magic Number,The method contains a magic number: 2,680
